Name,User name,Log in,Log out,Cytometer,Serial No.,Duration (in hours)
LSRII,user8,2014-07-24 13:24:02,2014-07-24 15:20:57,LSRII,1,1.9486111111
LSRII,user1,2013-09-02 14:33:10,2013-09-02 17:54:30,LSRII,1,3.3555555556
LSRII,MolecularBiomarkers,2013-09-03 12:27:18,2013-09-03 16:23:02,LSRII,1,3.9288888889
LSRII,MolecularBiomarkers,2013-09-03 16:23:13,2013-09-04 06:45:49,LSRII,1,14.3766666667
LSRII,bSebuufu,2013-09-04 10:14:09,2013-09-04 10:31:24,LSRII,1,0.2875
LSRII,bSebuufu,2013-09-04 10:49:09,2013-09-04 21:25:03,LSRII,1,10.5983333333
LSRII,bSebuufu,2013-09-05 10:46:43,2013-09-05 15:59:37,LSRII,1,5.215
LSRII,user2,2013-09-06 08:06:03,2013-09-06 12:46:27,LSRII,1,4.6733333333
LSRII,user2,2013-09-11 09:36:51,2013-09-11 14:49:39,LSRII,1,5.2133333333
LSRII,user3,2013-09-12 14:08:07,2013-09-12 17:15:54,LSRII,1,3.1297222222
LSRII,user3,2013-09-13 11:34:46,2013-09-13 16:42:36,LSRII,1,5.1305555556
LSRII,user3,2013-09-16 09:18:34,2013-09-16 12:51:08,LSRII,1,3.5427777778
LSRII,user4,2013-09-16 13:52:50,2013-09-16 14:02:34,LSRII,1,0.1622222222
LSRII,user4,2013-09-17 13:04:54,2013-09-17 18:06:02,LSRII,1,5.0188888889
LSRII,user4,2013-09-18 11:22:26,2013-09-18 19:26:23,LSRII,1,8.0658333333
LSRII,user5,2013-09-20 11:28:57,2013-09-20 17:44:39,LSRII,1,6.2616666667
LSRII,user5,2013-09-23 09:35:57,2013-09-23 14:26:41,LSRII,1,4.8455555556
LSRII,user6,2013-09-24 17:10:06,2013-09-24 19:29:38,LSRII,1,2.3255555556
LSRII,user6,2013-09-25 08:42:04,2013-09-25 17:50:09,LSRII,1,9.1347222222
LSRII,user6,2013-09-26 10:24:09,2013-09-26 15:27:33,LSRII,1,5.0566666667
LSRII,user6,2013-09-27 08:30:57,2013-09-27 17:41:55,LSRII,1,9.1827777778
LSRII,user6,2013-09-30 09:39:23,2013-09-30 14:57:53,LSRII,1,5.3083333333
LSRII,bSebuufu,2014-01-14 15:02:15,2014-01-14 16:25:10,LSRII,1,1.3819444444
LSRII,bSebuufu,2014-01-16 12:42:07,2014-01-16 15:01:00,LSRII,1,2.3147222222
LSRII,user6,2014-07-15 12:59:41,2014-07-15 16:37:21,LSRII,1,3.6277777778
LSRII,user6,2014-07-17 10:44:34,####-##-## ##:##:##,LSRII,1,N/A
LSRII,user7,2014-07-22 09:36:49,2014-07-22 10:50:27,LSRII,1,1.2272222222
LSRII,user6,2014-07-15 16:38:01,2014-07-15 17:55:36,LSRII,1,1.2930555556
LSRII,user7,2014-07-22 16:35:18,2014-07-22 17:58:22,LSRII,1,1.3844444444
LSRII,user8,2014-07-25 13:30:36,2014-07-25 13:31:59,LSRII,1,0.0230555556



,,,,,Total machine usage,568.8883
